"Date:","Saturday, 21 March 2020 at 12:35:34"
"Tool:","Eeschema (5.1.5-0-10_14)"
"Component Count:","33"
"Ref","Value","Vendor","Vendor Part Number","Footprint","Datasheet"
"C1","2.2n","Mouser","80-C1210C222JDGAUTO","Capacitor_SMD:C_1210_3225Metric","https://www.mouser.co.uk/datasheet/2/212/KEM_C1080_C0G_HV_AUTO_SMD-1104146.pdf"
"C2","2.2n","Mouser","80-C1210C222JDGAUTO","Capacitor_SMD:C_1210_3225Metric","https://www.mouser.co.uk/datasheet/2/212/KEM_C1080_C0G_HV_AUTO_SMD-1104146.pdf"
"C3","10n","Mouser","80-C0805C103J5GECLR","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.co.uk/datasheet/2/212/KEM_C1080_C0G_HV_AUTO_SMD-1104146.pdf"
"C4","10n","Mouser","80-C0805C103J5GECLR","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.co.uk/datasheet/2/212/KEM_C1080_C0G_HV_AUTO_SMD-1104146.pdf"
"C5","10n","Mouser","80-C0805C103J5GECLR","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.co.uk/datasheet/2/212/KEM_C1080_C0G_HV_AUTO_SMD-1104146.pdf"
"C6","1u","Mouser","80-C0805C105K4R","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.co.uk/datasheet/2/212/KEM_C1080_C0G_HV_AUTO_SMD-1104146.pdf"
"C7","1u","Mouser","80-C0805C105K4R","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.co.uk/datasheet/2/212/KEM_C1080_C0G_HV_AUTO_SMD-1104146.pdf"
"C8","10n","Mouser","80-C0805C103J5GECLR","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.co.uk/datasheet/2/212/KEM_C1080_C0G_HV_AUTO_SMD-1104146.pdf"
"C9","10n","Mouser","80-C0805C103J5GECLR","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.co.uk/datasheet/2/212/KEM_C1080_C0G_HV_AUTO_SMD-1104146.pdf"
"D1","LED","Mouser","604-APT3216LSECKJ4RV","LED_SMD:LED_1206_3216Metric","~"
"J1","Conn_01x02","Mouser","TSW-104-12-T-S-RA","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J1.1","Conn_Coaxial","Mouser","223-CON-SMA-EDGE-S","Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount","https://www.mouser.co.uk/datasheet/2/975/1498648656DS-CON-EDGE-SMA-4-1589063.pdf"
"J1.2","Conn_Coaxial","Mouser","223-CON-SMA-EDGE-S","Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount","https://www.mouser.co.uk/datasheet/2/975/1498648656DS-CON-EDGE-SMA-4-1589063.pdf"
"J2","Conn_Coaxial","Mouser","223-CON-SMA-EDGE-S","Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount","https://www.mouser.co.uk/datasheet/2/975/1498648656DS-CON-EDGE-SMA-4-1589063.pdf"
"J3","Conn_01x01_Female","Mouser","534-593","Audio_Components:BatteryHolder_Keystone_593","https://www.mouser.co.uk/datasheet/2/215/93-741249.pdf"
"J4","Conn_01x01_Female","Mouser","534-594","Audio_Components:BatteryHolder_Keystone_594","https://www.mouser.co.uk/datasheet/2/215/94-741219.pdf"
"R1","49.9k","Mouser","284-APC0805B49K9N","Resistor_SMD:R_0805_2012Metric","https://www.mouser.co.uk/datasheet/2/303/APC-1-15.34-911303.pdf"
"R2","49.9k","Mouser","284-APC0805B49K9N","Resistor_SMD:R_0805_2012Metric","https://www.mouser.co.uk/datasheet/2/303/APC-1-15.34-911303.pdf"
"R3","549","Mouser","667-ERA-6AEB5490V","Resistor_SMD:R_0805_2012Metric","https://www.mouser.co.uk/datasheet/2/315/AOA0000C307-1149632.pdf"
"R4","10k","Mouser","284-APC0805B10K0N","Resistor_SMD:R_0805_2012Metric",""
"R5","549","Mouser","667-ERA-6AEB5490V","Resistor_SMD:R_0805_2012Metric","https://www.mouser.co.uk/datasheet/2/315/AOA0000C307-1149632.pdf"
"R6","4.99k","Mouser","284-APC0805B4K99N","Resistor_SMD:R_0805_2012Metric",""
"R7","10k","Mouser","284-APC0805B10K0N","Resistor_SMD:R_0805_2012Metric",""
"R8","10k","Mouser","284-APC0805B10K0N","Resistor_SMD:R_0805_2012Metric",""
"R9","191k","Mouser","667-ERA-6AEB1913V","Resistor_SMD:R_0805_2012Metric",""
"R10","499","Mouser","284-APC0805B499RN","Resistor_SMD:R_0805_2012Metric",""
"R11","54.9","Mouser","667-ERA-6AEB54R9V","Resistor_SMD:R_0805_2012Metric",""
"R12","48.7","Mouser","667-ERA-6AEB48R7V","Resistor_SMD:R_0805_2012Metric",""
"R13","75","Mouser","71-CRCW120675R0FKEAC","Resistor_SMD:R_1206_3216Metric",""
"SW1","SPST","Mouser","642-DM01","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile","~"
"U1","LTC6268-10","Mouser","584-C6268IS6-10TMPF","Package_TO_SOT_SMD:SOT-23-6","https://www.analog.com/media/en/technical-documentation/data-sheets/OP07.pdf"
"U2","LTC6268-10","Mouser","584-C6268IS6-10TMPF","Package_TO_SOT_SMD:SOT-23-6","https://www.analog.com/media/en/technical-documentation/data-sheets/OP07.pdf"
"U3","LT1761-5","Mouser","584-LT1761ES5-5TRPBF","Package_TO_SOT_SMD:TSOT-23-5","https://www.analog.com/media/en/technical-documentation/data-sheets/1761sff.pdf"
